"Chapter","WordCount","QualityScore","Emotion","Intensity","BeatType","Title"
"64","2178","8.0","震惊","8","渲染","第64章 雷落，人亡"
"65","2524","8.0","期待","7","伏笔","第65章 祖龙令，万邦来朝！"
"66","2367","8.0","压抑","8","铺垫","第66章 弑神之雷，高维之血！"
"67","3009","8.0","紧张","9","冲突","第67章 高维猎杀，绝境突破！"
"68","2749","8.0","大爽快","9","反转","第68章 忍！龙魂不灭！"
"69","2325","8.0","震惊","8","渲染","第69章 困龙犹斗！"
"70","2258","8.0","期待","7","伏笔","第70章 跪？我让你跪！"
"71","2767","8.0","压抑","8","铺垫","第71章 神坠凡尘，龙潜于渊！"
"72","2111","8.0","紧张","9","冲突","第72章 龙血未冷！"
"73","1989","8.0","大爽快","9","反转","第73章 禁魔锁链，龙魂之怒！"
"74","2664","8.0","震惊","10","渲染","第74章 雷神之怒，血洗苍穹！"
"75","2560","8.0","期待","7","伏笔","第75章 雷神之心，国运暴涨！"
"76","2262","8.0","压抑","7","铺垫","第76章 高维试炼，混沌雷核！"
"77","2751","8.0","紧张","8","冲突","第77章 青铜门开，死亡降临！"
"78","2417","8.0","大爽快","9","反转","第78章 白发修罗，隐忍待发！"
"79","2592","8.0","震惊","8","渲染","第79章 三秒之后，血染长天"
"80","3415","8.0","期待","7","伏笔","第80章 雷狱天罚，三秒三杀"
"81","3402","8.0","压抑","8","铺垫","第81章 跪下，或者看着她死"
"82","2116","8.0","紧张","8","冲突","第82章 透支的代价，十倍奉还"
"83","2256","8.0","大爽快","9","反转","第83章 高维之锁，绝境无生"
"84","3058","8.0","震惊","8","渲染","第84章 雷神一怒，血染苍穹"
"85","2382","8.0","期待","7","伏笔","第85章 扮演度暴涨，雷神之瞳开！"
"86","2017","8.0","压抑","9","铺垫","第86章 突破30%！雷神真身显威！"
"87","2010","8.0","紧张","9","冲突","第87章 国运审判，绝境突破！"
"88","3027","8.0","大爽快","10","反转","第88章 囚笼试炼，虎落平阳！"
"89","2189","8.0","震惊","10","渲染","第89章 规则囚徒，龙游浅滩！"
"90","2639","8.0","期待","7","伏笔","第90章 十秒之后，神罚降临！"
"91","3226","8.0","压抑","8","铺垫","第91章 龙游浅滩遭虾戏，虎落平阳被犬欺！"
"92","2665","8.0","紧张","9","冲突","第92章 天威难测，龙困浅滩！"
"93","2719","8.0","大爽快","9","反转","第93章 血祭雷狱，龙困樊笼！"
"94","2729","8.0","震惊","8","渲染","第94章 血狱雷池，一怒屠国！"
"95","2724","8.0","期待","7","铺垫","第95章 国运破万，神级扫描！"
"96","2240","8.0","压抑","8","冲突","第96章 神铠加身，国运灌顶！"
"97","2168","8.0","紧张","9","冲突","第97章 高维猎杀，绝境雷劫！"
"98","2445","8.0","大爽快","9","反转","第98章 猎场困兽，48小时倒计时！"
"99","2231","8.0","震惊","8","渲染","第99章 锁链加身，信仰共鸣！"
"100","2550","8.0","期待","7","伏笔","第100章 日出提前，雷灭三眼！"
"101","2671","8.0","压抑","8","铺垫","第101章 弑神协议，龙魂待发！"
"102","1982","8.0","紧张","9","冲突","第102章 龙魂倒计时，最后三分钟！"
"103","2862","8.0","大爽快","9","反转","第103章 龙有逆鳞，触之必死！"
"104","2299","8.0","震惊","8","渲染","第104章 血月之下，雷神降世！"
"105","2029","8.0","期待","7","伏笔","第105章 屠神奖励，国运暴涨！"
"106","1942","8.0","压抑","8","冲突","第106章 古神之心，翼展惊世！"
"107","2531","8.0","紧张","9","冲突","第107章 绝缘神域，绝境突破！"
"108","2061","8.0","大爽快","10","反转","第108章 龙困浅滩，虎落平阳！"
"109","2546","8.0","震惊","9","渲染","第109章 隐忍的雷霆，暴怒的深渊"
"110","2688","8.0","期待","7","铺垫","第110章 青铜门内， public execution"
"111","2604","8.0","压抑","8","冲突","第111章 神威如狱，隐忍如渊"
"112","2406","8.0","紧张","9","冲突","第112章 神降之刻，血染的倒计时"
"113","1881","8.0","大爽快","9","反转","第113章 神威之下，蝼蚁的倔强"
"114","2025","8.0","震惊","8","渲染","第114章 弑神之刻，public execution"
"115","2458","8.0","期待","7","铺垫","第115章 雷神真身，全球震颤！"
"116","2723","8.0","压抑","8","冲突","第116章 高维试炼，国运暴涨！"
"117","2537","8.0","紧张","9","冲突","第117章 弑神阵中，向死而生！"
"118","2254","8.0","大爽快","10","反转","第118章 龙游浅滩，虎落平阳！"
"119","2524","8.0","震惊","9","渲染","第119章 忍辱负重，剑藏九霄！"
"120","3097","8.0","期待","7","伏笔","第120章 酒剑仙临，一剑开天！"
"121","2824","8.0","压抑","7","铺垫","第121章 雷神之怒，隐忍待发"
"122","2295","8.0","紧张","8","冲突","第122章 圣子降临，龙潜于渊"
"123","2702","8.0","大爽快","9","反转","第123章 神罚加身，龙血未冷"
"124","2673","8.0","震惊","8","渲染","第124章 灭世雷池，一剑霜寒十九州"
"125","2478","8.0","期待","6","伏笔","第125章 国运登顶，神宫造化"
"126","2392","8.0","压抑","7","铺垫","第126章 雷霆真身，一剑斩天"
"127","2547","8.0","紧张","8","冲突","第127章 维度坍塌，绝境雷暴！"
"128","2542","8.0","大爽快","9","反转","第128章 国运剥离，龙困浅滩！"
"129","2043","8.0","震惊","8","渲染","第129章 毒素入体，龙血未冷！"
"130","2316","8.0","期待","7","伏笔","第130章 高维雷霆，万军辟易！"
"131","2695","8.0","压抑","7","铺垫","第131章 维度压制，龙困深渊！"
"132","2358","8.0","紧张","8","冲突","第132章 雷霆寂灭，潜龙在渊！"
"133","2141","8.0","大爽快","9","反转","第133章 忍一时，雷霆万丈！"
"134","2164","8.0","震惊","8","渲染","第134章 三秒之后，神魔退避！"
"135","2477","8.0","期待","7","伏笔","第135章 天罚之瞳，国运暴涨！"
"136","2072","8.0","压抑","8","铺垫","第136章 龙脉核心，全球第一！"
"137","2341","8.0","紧张","9","冲突","第137章 血月反噬，绝境求生！"
"138","3020","8.0","小爽快","8","反转","第138章 龙困浅滩，虎落平阳！"
"139","3247","8.0","震惊","8","渲染","第139章 三秒之后，天地变色"
"140","2708","8.0","期待","7","伏笔","第140章 跪下，或者死"
"141","3952","8.0","压抑","7","铺垫","第141章 神墓之前，龙游浅滩"
"142","3179","8.0","紧张","8","冲突","第142章 第七室，龙困浅滩"
"143","3236","8.0","大爽快","10","反转","第143章 神尸睁眼，龙困深渊"
"144","2750","8.0","震惊","9","渲染","第144章 雷神一怒，代行者跪"
"145","3545","8.0","期待","7","伏笔","第145章 国运暴涨，雷神之眸！"
"146","3986","8.0","压抑","7","铺垫","第146章 雷神真身，国运破三十万！"
"147","2557","8.0","紧张","8","冲突","第147章 盖亚之矛，绝境重生！"
"148","2723","8.0","大爽快","9","反转","第148章 诸神黄昏，龙国受辱！"
"149","2580","8.0","震惊","10","渲染","第149章 血祭龙魂，隐忍待发！"
"150","2602","8.0","期待","7","伏笔","第150章 弑神者，苏辰！"
"151","2684","8.0","压抑","8","铺垫","第151章 雷藏九霄，风云将变"
"152","3082","8.0","紧张","9","冲突","第152章 神威如狱，雷池将倾"
"153","2562","8.0","大爽快","9","反转","第153章 雷渊蛰伏，杀机暗涌"
"154","3471","8.0","震惊","8","渲染","第154章 雷殒九天，神魔辟易"
"155","3579","8.0","期待","7","伏笔","第155章 晶核归元，国运登顶"
"156","2831","8.0","压抑","8","铺垫","第156章 雷神印记，破妄之瞳"
"157","2099","8.0","紧张","9","冲突","第157章 维度囚笼！雷神真身降世！"
"158","2481","8.0","大爽快","9","反转","第158章 龙游浅滩遭虾戏，虎落平阳被犬欺"
"159","2175","8.0","震惊","8","渲染","第159章 神威如狱，龙困浅滩！"
"160","2732","8.0","期待","7","伏笔","第160章 神血沸腾！一拳打爆七阶巅峰！"
"161","2114","8.0","压抑","8","铺垫","第161章 九阶之威，龙困浅滩！"
"162","1920","8.0","紧张","9","冲突","第162章 绝路逢生，最后一搏！"
"163","2137","8.0","大爽快","9","反转","第163章 三秒之后，神罚降临"
"164","2336","8.0","震惊","8","渲染","第164章 神罚之下，皆为齑粉"
"165","2352","8.0","期待","7","伏笔","第165章 清点神藏，战力飙升"
"166","1959","8.0","压抑","8","铺垫","第166章 S级神藏，国运登顶"
"167","2396","8.0","紧张","9","冲突","第167章 神之左手，死局降临"
"168","2184","8.0","大爽快","9","反转","第168章 跪地之辱，三小时倒计时"
"169","2989","8.0","震惊","8","渲染","第169章 十二人的囚笼，三秒的倒计时"
"170","3015","8.0","期待","7","伏笔","第170章 雷神一怒，十二人跪"
"171","3021","8.0","压抑","8","铺垫","第171章 神门之内，九重锁链"
"172","2487","8.0","紧张","9","冲突","第172章 锁断雷现，真容毕露"
"173","2435","8.0","大爽快","10","反转","第173章 本源之殇，三方绞杀"
"174","2340","8.0","震惊","10","渲染","第174章 八血反杀，雷神真怒"
"175","1895","8.0","期待","7","伏笔","第175章 扮演度突破，雷神真意觉醒！"
"176","2444","8.0","压抑","7","铺垫","第176章 反龙十二煞，雷神领域全开！"
"177","2146","8.0","紧张","8","冲突","第177章 维度封印，绝境醉剑！"
"178","1914","8.0","大爽快","9","反转","第178章 九转还魂，龙困浅滩！"
"179","1715","8.0","震惊","9","渲染","第179章 龙魂隐忍，蓄势待发！"
"180","2083","8.0","期待","8","伏笔","第180章 真龙九变，血契焚天！"
"181","2683","8.0","压抑","8","铺垫","第181章 禁地新规，跪伏或死！"
"182","2834","8.0","紧张","9","冲突","第182章 三秒之囚，神罚倒计！"
"183","2491","8.0","大爽快","9","反转","第183章 神威如狱，最后一秒！"
"184","2604","8.0","震惊","8","渲染","第184章 酒剑仙临，三秒封神！"
"185","2763","8.0","期待","7","伏笔","第185章 半神之姿，亿万收获！"
"186","2679","8.0","压抑","7","铺垫","第186章 国运祭坛，真神之基！"
"187","2726","8.0","紧张","8","冲突","第187章 空间崩塌！高维降临！"
"188","2560","8.0","大爽快","9","反转","第188章 龙游浅滩遭虾戏！"
"189","2183","8.0","震惊","8","渲染","第189章 忍辱负重，龙血未凉！"
"190","2487","8.0","期待","7","伏笔","第190章 酒雷九转，杀神降世！"
"191","2050","8.0","压抑","8","铺垫","第191章 龙困浅滩，伺机腾渊！"
"192","1844","8.0","紧张","8","冲突","第192章 折骨为雷，饮恨蓄势！"
"193","3129","8.0","大爽快","9","反转","第193章 雷霆未发，杀机已至"
"194","2374","8.0","震惊","8","渲染","第194章 神雷降世，屠灭联盟！"
"195","2131","8.0","期待","7","伏笔","第195章 高维馈赠，扮演度破限！"
"196","2413","8.0","压抑","8","铺垫","第196章 豁免令出，国库丰盈！"
"197","3752","8.0","紧张","9","冲突","第197章 收割者降临，生死一线！"
"198","2643","8.0","大爽快","10","反转","第198章 血祭之辱，龙吟待绽！"
"199","3213","8.0","震惊","9","渲染","第199章 禁锁加身，雷神之怒将燃"
"200","2361","8.0","期待","8","伏笔","第200章 雷神真身，全球直播处刑"
