account.basicInfo.status|Account Status
coverMaker.settings.prompt.placeholder|Enter your custom cover design requirements, such as scene, elements, atmosphere...
dashboard.detail.chapters|Chapter Details
dashboard.detail.scoreDist|Quality Score Distribution
dashboard.stat.avgScore|Avg Quality Score
dashboard.stat.chapters|Chapters Generated
dashboard.stat.progress|Progress
dashboard.stat.thisSession|↑ This Session
dashboard.stat.words|Total Words
dashboard.subtitle|View your creation statistics and analysis
dashboard.table.action|Action
dashboard.table.chapter|Chapter
dashboard.table.score|Score
dashboard.table.status|Status
dashboard.table.title|Title
dashboard.table.words|Words
dashboard.title|📊 Dashboard
novel.backToList|Back to List
novel.export|Export
novel.lineHeight.compact|Compact
novel.lineHeight.loose|Loose
novel.print|Print
novel.readingSettings.fontSize|Font Size:
novel.readingSettings.lineHeight|Line Height:
novel.readingSettings.theme|Theme:
novel.readingSettings.title|Reading Settings
novel.selectChapter|Select Chapter to Read
novel.selectChapterHint|Click on chapter list to select
novel.selectChapterPrompt|Please select a chapter from the left to start reading
novel.settings|Settings
novel.sidebar.chapterNav|Chapters
novel.sidebar.coreSetting|Core Setting
novel.sidebar.info|Novel Info
novel.sidebar.progress|Progress
novel.sidebar.sellingPoints|Selling Points
novel.sidebar.status|Status
novel.sidebar.title|Title
novel.theme.dark|Dark
novel.theme.light|Light
novel.theme.sepia|Sepia
novels.card.chapter|ch
novels.card.chapters|chs
novels.card.continue|Continue
novels.card.continueShort|Resume
novels.card.export|Export
novels.card.noSynopsis|No synopsis
novels.card.progress|Progress
novels.card.read|Read
novels.card.status.completed|Completed
novels.card.status.generating|Generating
novels.card.status.paused|Paused
novels.card.status.resumable|Resumable
novels.card.status.unknown|Unknown
novels.card.words|words
novels.continue.chapters|chs
novels.continue.count|Chapters to generate
novels.continue.error.failed|Continue failed: {error}
novels.continue.error.invalidCount|Please enter valid chapter count
novels.continue.error.invalidStart|Please enter valid start chapter
novels.continue.generated|Generated: {generated} chs | Suggest start from ch {next}
novels.continue.loading|Starting continue task...
novels.continue.startBtn|🚀 Start Continue
novels.continue.startChapter|Start from chapter
novels.continue.startChapter.hint|Can start from any chapter, including regenerating existing chapters
novels.continue.subtitle|Continue generating novel "{title}"
novels.continue.success|Continue task started! Task ID: {taskId}
novels.continue.tip|Tip: Can start from any chapter, including regenerating existing chapters
novels.continue.title|Continue Novel
novels.empty.desc|Start your first AI novel creation journey! Click the "New Creation" button above to begin.
novels.empty.start|Start Creating
novels.empty.title|No Works Yet
novels.filter.all|All
novels.filter.completed|Completed
novels.filter.generating|Generating
novels.filter.paused|Paused
novels.filters.title|Filter & Search
novels.searchPlaceholder|Search novel titles, descriptions or settings...
novels.stat.chapters|Total Chapters
novels.stat.completed|Completed
novels.stat.projects|Projects
novels.stat.words|Total Words
novels.subtitle|Manage and browse all your AI novel creation projects
novels.title|📚 My Works
novels.view.grid|Grid
novels.view.list|List
phase1.btn.reset|🔄 重置
phase1.btn.start|🚀 开始生成设定
phase1.field.chapters|总章节数
phase1.field.coreSetting|核心设定
phase1.field.coreSetting.hint|建议300字以上，越详细生成效果越好
phase1.field.coreSetting.placeholder|描述世界背景、特殊规则、主角金手指等...
phase1.field.mode|生成模式
phase1.field.mode.fullTwoPhase|🚀 完整两阶段（设定+章节）
phase1.field.mode.phaseOneOnly|✨ 仅第一阶段（生成设定）
phase1.field.mode.resume|🔄 恢复模式
phase1.field.platform|目标平台
phase1.field.platform.fanqie|🍅 番茄小说
phase1.field.platform.qidian|📚 起点中文网
phase1.field.platform.zhihu|💭 知乎盐选
phase1.field.sellingPoints|核心卖点
phase1.field.sellingPoints.placeholder|例如：无敌流、系统流、复仇爽文...
phase1.field.synopsis|小说简介
phase1.field.synopsis.hint|建议50-200字，概括故事核心冲突
phase1.field.synopsis.placeholder|简要描述故事主线...
phase1.field.title|小说标题
phase1.field.title.placeholder|请输入小说标题
phase1.points|创造点
phase1.points.cost|创造点消耗
phase1.points.estimated|预估中
phase1.points.hint|余额≥75点可开始生成，实际按API调用实时扣费
phase1.points.min|最低门槛
phase1.progress.message|初始化中...
phase1.progress.steps|详细步骤进度
phase1.progress.stop|停止生成
phase1.progress.title|正在生成设定...
phase1.result.continue|继续第二阶段
phase1.result.desc|您可以查看、编辑生成结果，或继续第二阶段
phase1.result.edit|编辑设定
phase1.result.regenerate|重新生成
phase1.result.title|设定生成完成
phase1.resume.continue|继续生成
phase1.resume.desc|您有未完成的设定生成任务
phase1.resume.new|开始新创作
phase1.resume.progress|已生成
phase1.resume.title|继续生成
phase1.resume.updated|最后更新
phase1.sidebar.create|创建新创意
phase1.sidebar.my|我的创意
phase1.sidebar.system|系统推荐创意
phase1.sidebar.title|创意灵感
phase1.step.complete|进入第二阶段
phase1.step.generation|设定生成
phase1.step.input|创意输入
phase1.step.preview|结果预览
register.reward|Get 88 Creation Points FREE
shortDramaStudio.btn.newScript|新建剧本
shortDramaStudio.btn.preview|预览
shortDramaStudio.btn.storyboard|生成分镜
shortDramaStudio.section.scripts|剧本管理
shortDramaStudio.section.shots|镜头库
shortDramaStudio.section.storyboard|分镜管理
shortDramaStudio.subtitle|一站式短剧创作平台
shortDramaStudio.title|短剧工作台
userMenu.accountSettings|Account Settings
userMenu.admin|ADMIN
userMenu.balance|Balance
userMenu.dashboard|Dashboard
userMenu.logout|Logout
userMenu.modelConfig|Model Config
userMenu.points|Points
userMenu.preferences|Preferences
userMenu.recharge|Recharge Now
userMenu.switchAccount|Switch Account
userMenu.tutorial|Tutorial
userMenu.userManagement|User Management
